Cate No,Category,Type No,Reward Type,Image,Title,Details,Image Name,Remark
3,Egg,3,Elem(R),,Rare Elemental D.G.Egg,This is a Rare Elemental D.G.Egg. This egg will be hatched and minted into an NFT containing a Rare Elemental type D.G.Pal.,elemental_egg_r.png,
3,Egg,4,Space(G),,Great Space D.G.Egg,This is a Great Space D.G.Egg. This egg will be hatched and minted into an NFT containing a Great Space type D.G.Pal.,space_egg_g.png,
3,Egg,5,Elem(G),,Great Elemental D.G.Egg,This is a Great Elemental D.G.Egg. This egg will be hatched and minted into an NFT containing a Great Elemental type D.G.Pal.,elemental_egg_g.png,
3,Egg,6,Space(E),,Excellent Space D.G.Egg,This is an Excellent Space D.G.Egg. This egg will be hatched and minted into an NFT containing an Excellent Space type D.G.Pal.,space_egg_e.png,
3,Egg,7,Elem(E),,Excellent Elemental D.G.Egg,"This is an Excellent Elemental D.G.Egg. This egg will be hatched and minted into an NFT containing an Excellent Elemental type D.G.Pal.",elemental_egg_e.png,
3,Egg,8,Random Space/Elemental Egg,,Random Space / Elemental D.G.Egg,This is a random Space / Elemental D.G.Egg. It can be hatched and certified in D.G.P: New World as a random Space / Elemental D.G.Pal NFT.,elemental-space_egg.png,Combined to 3-1
3,Egg,9,Random Dino / Nightmare D.G.Egg ,,Random Dino / Nightmare D.G.Egg ,This is a random Dino / Nightmare D.G.Egg. It can be hatched and certified in D.G.P: New World as a random Dino / Nightmare D.G.Pal NFT.,dino-nightmare_egg.png,
,,,,,Dino D.G.Egg,This is a random Dino D.G.Egg. It can be hatched and certified in D.G.P: New World as a random Dino D.G.Pal NFT.,,
,,,,,Nightmare D.G.Egg ,This is a random Nightmare D.G.Egg. It can be hatched and certified in D.G.P: New World as a random Nightmare D.G.Pal NFT.,,
10,Ticket,1,"free mint ticket for NW NFTs
(Consumable)",,Certification Ticket, Present this official ticket to the New World Office when your D.G.Pal is ready to be certified as an NFT. This will waive the usual $OPL fee required. ,,2023/Jan update
10,Ticket,2,"new tickets to trade for exclusive items in future. 
Not tied to any particular game. 
of equal rank, just for different categories",,Luxe Green,An invitation to trade... That's all it says on the back.,,2023/Jan update
10,Ticket,3,"new tickets to trade for exclusive items in future. 
Not tied to any particular game. 
of equal rank, just for different categories",,Luxe Blue,An invitation to trade... That's all it says on the back.,,2023/Jan update
10,Ticket,4,"new tickets to trade for exclusive items in future. 
Not tied to any particular game. 
of equal rank, just for different categories",,Luxe Red,An invitation to trade... That's all it says on the back.,,2023/Jan update
10,Ticket,5,"new tickets to trade for exclusive items in future. 
Not tied to any particular game. 
of equal rank, just for different categories",,Luxe Purple,An invitation to trade... That's all it says on the back.,,2023/Jan update
10,Ticket,6,"new tickets to trade for exclusive items in future. 
Not tied to any particular game. 
The extremely premium ticket",,Rainbow Luxe,An invitation to trade... That's all it says on the back.,,2023/Jan update
